"","c1","c2","c3","c4"
"404","Norway",2009,"A",6827
"405","Norway",2010,"H1",0
"406","Norway",2010,"H1p09",106
"407","Norway",2010,"H3",15
"408","Norway",2010,"A",121
"409","Norway",2011,"H1",0
"410","Norway",2011,"H1p09",960
"411","Norway",2011,"H3",196
"412","Norway",2011,"A",1156
"413","Norway",2012,"H1",0
"414","Norway",2012,"H1p09",426
"415","Norway",2012,"H3",814
"416","Norway",2012,"A",1240
"417","Norway",2013,"H1",0
"418","Norway",2013,"H1p09",3752
"419","Norway",2013,"H3",378
"420","Norway",2013,"A",4130
"421","Norway",2014,"H1",0
"422","Norway",2014,"H1p09",1986
"423","Norway",2014,"H3",677
"424","Norway",2014,"A",2663
"425","Norway",2015,"H1",0
"426","Norway",2015,"H1p09",1707
"427","Norway",2015,"H3",2556
"428","Norway",2015,"A",4263
"429","Norway",2016,"H1",0
"430","Norway",2016,"H1p09",5146
"431","Norway",2016,"H3",1463
"432","Norway",2016,"A",6609
"433","Norway",2017,"H1",0
"434","Norway",2017,"H1p09",47
"435","Norway",2017,"H3",2008
"436","Norway",2017,"A",2055
