Country,Year,Subtype,Observed
UK,2004,H1,35
UK,2004,H1p09,0
UK,2004,H3,279
UK,2004,A,314
UK,2004,All,327
UK,2005,H1,126
UK,2005,H1p09,0
UK,2005,H3,656
UK,2005,A,782
UK,2005,All,967
UK,2006,H1,112
UK,2006,H1p09,0
UK,2006,H3,95
UK,2006,A,207
UK,2006,All,585
UK,2007,H1,198
UK,2007,H1p09,0
UK,2007,H3,848
UK,2007,A,1046
UK,2007,All,1070
UK,2008,H1,439
UK,2008,H1p09,0
UK,2008,H3,842
UK,2008,A,1281
UK,2008,All,1575
UK,2009,H1,50
UK,2009,H1p09,3192
UK,2009,H3,425
UK,2009,A,3737
UK,2009,All,3832
UK,2010,H1,0
UK,2010,H1p09,2021
UK,2010,H3,26
UK,2010,A,4313
UK,2010,All,5556
UK,2011,H1,0
UK,2011,H1p09,1690
UK,2011,H3,85
UK,2011,A,4766
UK,2011,All,7593
UK,2012,H1,0
UK,2012,H1p09,71
UK,2012,H3,1698
UK,2012,A,3548
UK,2012,All,4744
UK,2013,H1,0
UK,2013,H1p09,525
UK,2013,H3,1595
UK,2013,A,4608
UK,2013,All,7841
UK,2014,H1,0
UK,2014,H1p09,1870
UK,2014,H3,878
UK,2014,A,5134
UK,2014,All,5375
UK,2015,H1,0
UK,2015,H1p09,525
UK,2015,H3,2701
UK,2015,A,3226
UK,2015,All,4990
Azerbaijan,1997,H1,0
Azerbaijan,1997,H1p09,0
Azerbaijan,1997,H3,0
Azerbaijan,1997,A,0
Azerbaijan,1998,H1,0
Azerbaijan,1998,H1p09,0
Azerbaijan,1998,H3,0
Azerbaijan,1998,A,0
Azerbaijan,1999,H1,0
Azerbaijan,1999,H1p09,0
Azerbaijan,1999,H3,0
Azerbaijan,1999,A,0
Azerbaijan,2000,H1,0
Azerbaijan,2000,H1p09,0
Azerbaijan,2000,H3,0
Azerbaijan,2000,A,0
Azerbaijan,2001,H1,0
Azerbaijan,2001,H1p09,0
Azerbaijan,2001,H3,0
Azerbaijan,2001,A,0
Azerbaijan,2002,H1,0
Azerbaijan,2002,H1p09,0
Azerbaijan,2002,H3,0
Azerbaijan,2002,A,0
Azerbaijan,2003,H1,0
Azerbaijan,2003,H1p09,0
Azerbaijan,2003,H3,0
Azerbaijan,2003,A,0
Azerbaijan,2004,H1,0
Azerbaijan,2004,H1p09,0
Azerbaijan,2004,H3,0
Azerbaijan,2004,A,0
Azerbaijan,2005,H1,0
Azerbaijan,2005,H1p09,0
Azerbaijan,2005,H3,0
Azerbaijan,2005,A,0
Azerbaijan,2006,H1,0
Azerbaijan,2006,H1p09,0
Azerbaijan,2006,H3,0
Azerbaijan,2006,A,0
Azerbaijan,2007,H1,0
Azerbaijan,2007,H1p09,0
Azerbaijan,2007,H3,0
Azerbaijan,2007,A,0
Azerbaijan,2008,H1,0
Azerbaijan,2008,H1p09,0
Azerbaijan,2008,H3,0
Azerbaijan,2008,A,0
Azerbaijan,2009,H1,0
Azerbaijan,2009,H1p09,0
Azerbaijan,2009,H3,0
Azerbaijan,2009,A,0
Azerbaijan,2010,H1,0
Azerbaijan,2010,H1p09,0
Azerbaijan,2010,H3,0
Azerbaijan,2010,A,0
Azerbaijan,2011,H1,0
Azerbaijan,2011,H1p09,0
Azerbaijan,2011,H3,0
Azerbaijan,2011,A,0
Azerbaijan,2012,H1,0
Azerbaijan,2012,H1p09,0
Azerbaijan,2012,H3,0
Azerbaijan,2012,A,0
Azerbaijan,2013,H1,0
Azerbaijan,2013,H1p09,0
Azerbaijan,2013,H3,6
Azerbaijan,2013,A,6
Azerbaijan,2014,H1,0
Azerbaijan,2014,H1p09,0
Azerbaijan,2014,H3,8
Azerbaijan,2014,A,8
Azerbaijan,2015,H1,0
Azerbaijan,2015,H1p09,0
Azerbaijan,2015,H3,0
Azerbaijan,2015,A,0
Turkey,1997,H1,0
Turkey,1997,H1p09,0
Turkey,1997,H3,0
Turkey,1997,A,0
Turkey,1998,H1,0
Turkey,1998,H1p09,0
Turkey,1998,H3,0
Turkey,1998,A,0
Turkey,1999,H1,0
Turkey,1999,H1p09,0
Turkey,1999,H3,7
Turkey,1999,A,7
Turkey,2000,H1,0
Turkey,2000,H1p09,0
Turkey,2000,H3,0
Turkey,2000,A,0
Turkey,2001,H1,0
Turkey,2001,H1p09,0
Turkey,2001,H3,0
Turkey,2001,A,0
Turkey,2002,H1,0
Turkey,2002,H1p09,0
Turkey,2002,H3,0
Turkey,2002,A,0
Turkey,2003,H1,0
Turkey,2003,H1p09,0
Turkey,2003,H3,0
Turkey,2003,A,0
Turkey,2004,H1,1
Turkey,2004,H1p09,0
Turkey,2004,H3,9
Turkey,2004,A,10
Turkey,2005,H1,0
Turkey,2005,H1p09,0
Turkey,2005,H3,0
Turkey,2005,A,0
Turkey,2006,H1,1
Turkey,2006,H1p09,0
Turkey,2006,H3,6
Turkey,2006,A,7
Turkey,2007,H1,1
Turkey,2007,H1p09,0
Turkey,2007,H3,37
Turkey,2007,A,38
Turkey,2008,H1,0
Turkey,2008,H1p09,0
Turkey,2008,H3,1
Turkey,2008,A,1
Turkey,2009,H1,1
Turkey,2009,H1p09,7418
Turkey,2009,H3,64
Turkey,2009,A,7483
Turkey,2010,H1,0
Turkey,2010,H1p09,100
Turkey,2010,H3,13
Turkey,2010,A,113
Turkey,2011,H1,0
Turkey,2011,H1p09,854
Turkey,2011,H3,732
Turkey,2011,A,1586
Turkey,2012,H1,0
Turkey,2012,H1p09,62
Turkey,2012,H3,970
Turkey,2012,A,1032
Turkey,2013,H1,0
Turkey,2013,H1p09,1820
Turkey,2013,H3,674
Turkey,2013,A,2494
